ni_pct,co_pct,mn_pct,ni_to_co_ratio,ni_to_mn_ratio,dopant_sum,temp_C,c_rate,predicted_accuracy,baseline_accuracy,improvement_pct
31.09,30.77,38.14,1.01,0.82,100.0,70,1.0,66.76,75.0,-8.24
47.75,40.38,11.87,1.18,4.02,100.0,40,0.5,66.93,75.0,-8.07
36.77,45.44,17.79,0.81,2.07,100.0,70,5.0,37.18,75.0,-37.82
76.37,17.43,6.2,4.38,12.32,100.0,55,0.5,82.77,75.0,7.77
73.69,13.4,12.91,5.5,5.71,100.0,25,5.0,65.52,75.0,-9.48
55.87,27.45,16.68,2.04,3.35,100.0,55,1.0,75.46,75.0,0.46
33.86,39.16,26.98,0.86,1.25,100.0,55,5.0,47.1,75.0,-27.9
25.31,27.51,47.18,0.92,0.54,100.0,70,0.5,75.47,75.0,0.47
31.76,21.07,47.17,1.51,0.67,100.0,40,0.5,84.93,75.0,9.93
22.71,32.33,44.96,0.7,0.51,100.0,25,5.0,57.82,75.0,-17.18
39.52,23.88,36.6,1.65,1.08,100.0,25,2.0,80.51,75.0,5.51
43.32,47.31,9.36,0.92,4.63,100.0,25,0.5,68.99,75.0,-6.01
36.28,46.91,16.81,0.77,2.16,100.0,25,2.0,62.85,75.0,-12.15
34.14,18.03,47.83,1.89,0.71,100.0,40,2.0,79.28,75.0,4.28
41.41,23.12,35.48,1.79,1.17,100.0,25,2.0,79.03,75.0,4.03
36.86,39.49,23.66,0.93,1.56,100.0,70,2.0,59.76,75.0,-15.24
52.56,11.47,35.97,4.58,1.46,100.0,70,0.5,82.2,75.0,7.2
28.46,28.99,42.55,0.98,0.67,100.0,25,0.5,80.51,75.0,5.51
68.13,23.45,8.42,2.9,8.1,100.0,25,2.0,74.47,75.0,-0.53
24.47,46.82,28.71,0.52,0.85,100.0,40,0.5,67.29,75.0,-7.71
79.21,10.48,10.31,7.56,7.68,100.0,40,2.0,83.44,75.0,8.44
30.26,23.31,46.43,1.3,0.65,100.0,25,2.0,77.64,75.0,2.64
31.92,39.63,28.45,0.81,1.12,100.0,40,2.0,57.58,75.0,-17.42
20.33,29.4,50.27,0.69,0.4,100.0,55,5.0,54.18,75.0,-20.82
68.93,13.42,17.66,5.14,3.9,100.0,25,1.0,84.62,75.0,9.62
45.55,30.13,24.32,1.51,1.87,100.0,40,0.5,71.37,75.0,-3.63
63.74,30.72,5.54,2.07,11.51,100.0,70,0.5,63.76,75.0,-11.24
31.23,10.56,58.21,2.96,0.54,100.0,25,2.0,89.41,75.0,14.41
24.44,19.46,56.09,1.26,0.44,100.0,25,5.0,71.07,75.0,-3.93
41.51,29.34,29.15,1.41,1.42,100.0,70,5.0,48.49,75.0,-26.51
26.95,27.17,45.88,0.99,0.59,100.0,70,0.5,74.71,75.0,-0.29
71.79,13.0,15.22,5.52,4.72,100.0,40,2.0,82.97,75.0,7.97
57.4,14.25,28.36,4.03,2.02,100.0,70,0.5,76.73,75.0,1.73
39.85,43.5,16.65,0.92,2.39,100.0,55,2.0,56.78,75.0,-18.22
23.81,19.59,56.59,1.22,0.42,100.0,25,2.0,81.91,75.0,6.91
38.66,17.8,43.54,2.17,0.89,100.0,55,1.0,82.59,75.0,7.59
39.51,30.2,30.29,1.31,1.3,100.0,40,2.0,67.44,75.0,-7.56
66.4,10.28,23.32,6.46,2.85,100.0,70,1.0,78.68,75.0,3.68
58.25,12.48,29.27,4.67,1.99,100.0,25,0.5,92.11,75.0,17.11
48.46,19.61,31.93,2.47,1.52,100.0,70,0.5,82.92,75.0,7.92
48.33,14.77,36.9,3.27,1.31,100.0,70,5.0,61.93,75.0,-13.07
27.18,11.46,61.37,2.37,0.44,100.0,40,1.0,88.59,75.0,13.59
62.79,12.11,25.1,5.19,2.5,100.0,40,0.5,84.51,75.0,9.51
41.07,14.03,44.9,2.93,0.91,100.0,40,1.0,81.62,75.0,6.62
53.68,14.72,31.6,3.65,1.7,100.0,40,0.5,91.31,75.0,16.31
66.26,11.81,21.94,5.61,3.02,100.0,25,1.0,86.06,75.0,11.06
49.63,27.52,22.86,1.8,2.17,100.0,55,1.0,71.05,75.0,-3.95
41.67,20.41,37.93,2.04,1.1,100.0,55,2.0,77.47,75.0,2.47
45.65,20.5,33.85,2.23,1.35,100.0,25,0.5,81.7,75.0,6.7
21.53,26.87,51.61,0.8,0.42,100.0,70,5.0,56.83,75.0,-18.17
26.47,11.6,61.93,2.28,0.43,100.0,25,2.0,87.31,75.0,12.31
21.89,27.96,50.15,0.78,0.44,100.0,55,5.0,51.0,75.0,-24.0
58.18,33.1,8.71,1.76,6.68,100.0,55,1.0,65.96,75.0,-9.04
38.86,32.84,28.3,1.18,1.37,100.0,25,2.0,67.68,75.0,-7.32
50.51,23.3,26.19,2.17,1.93,100.0,40,1.0,79.63,75.0,4.63
71.13,17.08,11.79,4.16,6.04,100.0,70,0.5,75.78,75.0,0.78
34.96,14.26,50.78,2.45,0.69,100.0,25,0.5,86.86,75.0,11.86
44.62,24.67,30.71,1.81,1.45,100.0,55,5.0,54.14,75.0,-20.86
65.33,13.98,20.69,4.67,3.16,100.0,40,0.5,82.71,75.0,7.71
33.73,40.66,25.61,0.83,1.32,100.0,70,5.0,40.71,75.0,-34.29
24.62,48.65,26.73,0.51,0.92,100.0,55,1.0,54.06,75.0,-20.94
37.39,48.8,13.81,0.77,2.71,100.0,70,2.0,46.76,75.0,-28.24
29.67,44.6,25.72,0.67,1.15,100.0,40,0.5,66.4,75.0,-8.6
53.23,11.14,35.63,4.78,1.49,100.0,55,1.0,84.13,75.0,9.13
28.17,16.89,54.94,1.67,0.51,100.0,40,2.0,81.42,75.0,6.42
58.0,21.41,20.59,2.71,2.82,100.0,25,1.0,84.11,75.0,9.11
73.82,10.33,15.85,7.15,4.66,100.0,25,5.0,65.88,75.0,-9.12
35.02,40.49,24.49,0.86,1.43,100.0,70,1.0,59.91,75.0,-15.09
31.19,29.28,39.53,1.07,0.79,100.0,40,5.0,45.47,75.0,-29.53
39.71,16.09,44.2,2.47,0.9,100.0,40,5.0,65.9,75.0,-9.1
52.36,21.28,26.36,2.46,1.99,100.0,70,0.5,75.34,75.0,0.34
68.45,22.72,8.83,3.01,7.75,100.0,70,5.0,48.03,75.0,-26.97
77.41,16.72,5.87,4.63,13.18,100.0,70,5.0,55.83,75.0,-19.17
39.08,12.25,48.67,3.19,0.8,100.0,25,1.0,94.81,75.0,19.81
26.6,29.43,43.97,0.9,0.6,100.0,70,5.0,48.37,75.0,-26.63
33.68,46.51,19.81,0.72,1.7,100.0,25,5.0,41.59,75.0,-33.41
45.63,34.41,19.96,1.33,2.29,100.0,70,1.0,64.4,75.0,-10.6
21.49,45.71,32.8,0.47,0.66,100.0,40,2.0,54.27,75.0,-20.73
71.64,19.99,8.37,3.58,8.56,100.0,40,0.5,79.36,75.0,4.36
20.42,23.73,55.85,0.86,0.37,100.0,70,1.0,78.64,75.0,3.64
50.64,44.08,5.27,1.15,9.6,100.0,70,5.0,35.86,75.0,-39.14
45.04,32.37,22.59,1.39,1.99,100.0,25,1.0,68.96,75.0,-6.04
33.33,30.59,36.08,1.09,0.92,100.0,55,2.0,60.8,75.0,-14.2
27.19,13.98,58.82,1.94,0.46,100.0,25,1.0,91.58,75.0,16.58
40.26,10.64,49.1,3.78,0.82,100.0,40,1.0,92.05,75.0,17.05
42.61,36.16,21.23,1.18,2.01,100.0,70,1.0,57.96,75.0,-17.04
39.39,25.08,35.53,1.57,1.11,100.0,40,1.0,79.35,75.0,4.35
51.13,34.13,14.74,1.5,3.47,100.0,55,5.0,50.58,75.0,-24.42
62.18,13.19,24.63,4.71,2.52,100.0,25,1.0,93.89,75.0,18.89
41.82,37.32,20.86,1.12,2.0,100.0,40,2.0,63.95,75.0,-11.05
52.19,30.67,17.14,1.7,3.04,100.0,25,1.0,76.76,75.0,1.76
36.48,10.21,53.31,3.57,0.68,100.0,70,1.0,77.78,75.0,2.78
35.11,15.04,49.85,2.33,0.7,100.0,40,5.0,72.75,75.0,-2.25
49.83,33.27,16.9,1.5,2.95,100.0,55,5.0,45.67,75.0,-29.33
38.05,40.65,21.29,0.94,1.79,100.0,25,1.0,65.87,75.0,-9.13
37.09,26.26,36.65,1.41,1.01,100.0,25,5.0,59.52,75.0,-15.48
22.21,45.19,32.59,0.49,0.68,100.0,55,5.0,45.16,75.0,-29.84
56.57,35.95,7.48,1.57,7.56,100.0,40,1.0,74.21,75.0,-0.79
36.38,49.39,14.22,0.74,2.56,100.0,40,5.0,39.22,75.0,-35.78
23.09,34.94,41.97,0.66,0.55,100.0,25,0.5,80.23,75.0,5.23
36.72,15.25,48.03,2.41,0.76,100.0,55,0.5,85.76,75.0,10.76
38.16,45.11,16.73,0.85,2.28,100.0,25,0.5,64.48,75.0,-10.52
34.37,18.07,47.55,1.9,0.72,100.0,25,5.0,71.54,75.0,-3.46
28.69,46.35,24.95,0.62,1.15,100.0,70,0.5,56.68,75.0,-18.32
49.37,40.42,10.22,1.22,4.83,100.0,40,2.0,64.34,75.0,-10.66
22.18,21.84,55.99,1.02,0.4,100.0,40,0.5,88.71,75.0,13.71
34.52,22.04,43.44,1.57,0.79,100.0,70,2.0,71.76,75.0,-3.24
60.33,17.36,22.31,3.47,2.7,100.0,40,5.0,67.56,75.0,-7.44
46.3,36.37,17.33,1.27,2.67,100.0,40,0.5,77.47,75.0,2.47
34.26,28.97,36.78,1.18,0.93,100.0,40,2.0,69.88,75.0,-5.12
63.69,19.03,17.28,3.35,3.69,100.0,55,5.0,54.98,75.0,-20.02
42.07,34.66,23.27,1.21,1.81,100.0,70,0.5,60.97,75.0,-14.03
57.94,11.61,30.45,4.99,1.9,100.0,25,1.0,96.65,75.0,21.65
58.01,23.05,18.94,2.52,3.06,100.0,55,0.5,75.94,75.0,0.94
52.15,28.74,19.11,1.81,2.73,100.0,25,0.5,82.7,75.0,7.7
25.42,15.92,58.66,1.6,0.43,100.0,70,0.5,81.0,75.0,6.0
63.6,23.79,12.6,2.67,5.05,100.0,70,1.0,75.22,75.0,0.22
39.25,18.36,42.39,2.14,0.93,100.0,70,2.0,70.28,75.0,-4.72
31.19,15.21,53.59,2.05,0.58,100.0,40,2.0,78.13,75.0,3.13
22.45,18.14,59.41,1.24,0.38,100.0,55,1.0,81.62,75.0,6.62
44.27,16.9,38.83,2.62,1.14,100.0,70,0.5,78.96,75.0,3.96
60.65,27.02,12.33,2.24,4.92,100.0,25,0.5,81.61,75.0,6.61
21.0,32.62,46.39,0.64,0.45,100.0,40,0.5,76.15,75.0,1.15
50.73,10.84,38.43,4.68,1.32,100.0,40,2.0,85.14,75.0,10.14
33.59,11.38,55.03,2.95,0.61,100.0,55,2.0,80.67,75.0,5.67
58.71,27.83,13.46,2.11,4.36,100.0,55,1.0,68.87,75.0,-6.13
30.46,42.67,26.87,0.71,1.13,100.0,55,5.0,40.07,75.0,-34.93
60.45,21.66,17.89,2.79,3.38,100.0,40,1.0,84.76,75.0,9.76
43.2,13.47,43.33,3.21,1.0,100.0,70,2.0,76.58,75.0,1.58
32.27,32.51,35.22,0.99,0.92,100.0,25,0.5,72.32,75.0,-2.68
28.25,46.53,25.22,0.61,1.12,100.0,70,0.5,56.89,75.0,-18.11
40.46,25.52,34.02,1.59,1.19,100.0,25,0.5,83.33,75.0,8.33
26.81,43.18,30.01,0.62,0.89,100.0,70,0.5,66.81,75.0,-8.19
75.48,15.35,9.17,4.92,8.23,100.0,55,5.0,62.26,75.0,-12.74
75.96,13.99,10.05,5.43,7.56,100.0,25,1.0,83.45,75.0,8.45
35.48,40.06,24.47,0.89,1.45,100.0,40,1.0,73.66,75.0,-1.34
35.87,46.88,17.25,0.77,2.08,100.0,25,2.0,58.82,75.0,-16.18
28.99,15.63,55.38,1.85,0.52,100.0,40,1.0,90.33,75.0,15.33
53.31,24.54,22.15,2.17,2.41,100.0,70,5.0,47.57,75.0,-27.43
25.4,19.0,55.61,1.34,0.46,100.0,55,5.0,54.07,75.0,-20.93
34.51,21.02,44.47,1.64,0.78,100.0,25,5.0,60.51,75.0,-14.49
25.59,23.29,51.13,1.1,0.5,100.0,40,0.5,73.56,75.0,-1.44
53.8,32.33,13.87,1.66,3.88,100.0,70,2.0,66.1,75.0,-8.9
26.83,40.56,32.61,0.66,0.82,100.0,55,5.0,44.51,75.0,-30.49
28.33,34.77,36.9,0.81,0.77,100.0,55,1.0,65.57,75.0,-9.43
40.34,18.19,41.47,2.22,0.97,100.0,55,1.0,81.77,75.0,6.77
40.95,41.92,17.13,0.98,2.39,100.0,70,1.0,58.94,75.0,-16.06
38.0,19.29,42.71,1.97,0.89,100.0,70,5.0,58.63,75.0,-16.37
73.83,12.55,13.62,5.88,5.42,100.0,70,5.0,62.2,75.0,-12.8
36.9,10.04,53.06,3.68,0.7,100.0,55,1.0,86.41,75.0,11.41
66.79,21.31,11.9,3.13,5.61,100.0,25,5.0,58.63,75.0,-16.37
58.52,22.18,19.3,2.64,3.03,100.0,40,1.0,80.89,75.0,5.89
25.05,49.32,25.63,0.51,0.98,100.0,70,0.5,58.95,75.0,-16.05
29.7,35.71,34.59,0.83,0.86,100.0,25,5.0,53.76,75.0,-21.24
47.29,18.71,34.0,2.53,1.39,100.0,40,0.5,91.34,75.0,16.34
41.55,15.47,42.98,2.69,0.97,100.0,55,0.5,83.66,75.0,8.66
20.55,25.09,54.36,0.82,0.38,100.0,25,5.0,60.17,75.0,-14.83
26.09,42.07,31.84,0.62,0.82,100.0,55,1.0,63.99,75.0,-11.01
59.81,27.38,12.81,2.18,4.67,100.0,40,2.0,67.09,75.0,-7.91
20.3,44.78,34.91,0.45,0.58,100.0,70,0.5,62.13,75.0,-12.87
29.65,17.23,53.13,1.72,0.56,100.0,55,5.0,59.76,75.0,-15.24
37.56,32.05,30.38,1.17,1.24,100.0,25,0.5,76.9,75.0,1.9
61.51,18.75,19.74,3.28,3.12,100.0,70,1.0,80.52,75.0,5.52
59.12,23.05,17.83,2.56,3.31,100.0,25,5.0,59.43,75.0,-15.57
33.46,40.25,26.3,0.83,1.27,100.0,40,2.0,59.06,75.0,-15.94
62.73,25.75,11.52,2.44,5.45,100.0,40,5.0,58.64,75.0,-16.36
34.23,34.33,31.44,1.0,1.09,100.0,70,0.5,64.46,75.0,-10.54
39.52,27.78,32.69,1.42,1.21,100.0,25,5.0,56.74,75.0,-18.26
35.75,28.41,35.84,1.26,1.0,100.0,25,5.0,60.43,75.0,-14.57
58.98,19.13,21.89,3.08,2.69,100.0,25,0.5,89.11,75.0,14.11
70.95,12.34,16.71,5.75,4.25,100.0,25,2.0,86.7,75.0,11.7
59.46,22.0,18.55,2.7,3.21,100.0,40,1.0,76.21,75.0,1.21
54.1,28.97,16.93,1.87,3.2,100.0,25,5.0,58.2,75.0,-16.8
25.62,16.72,57.66,1.53,0.44,100.0,40,2.0,79.66,75.0,4.66
42.06,24.19,33.75,1.74,1.25,100.0,25,1.0,79.62,75.0,4.62
35.91,26.0,38.09,1.38,0.94,100.0,25,0.5,86.72,75.0,11.72
34.64,12.3,53.06,2.82,0.65,100.0,55,2.0,79.05,75.0,4.05
34.72,46.15,19.13,0.75,1.81,100.0,55,2.0,54.44,75.0,-20.56
43.59,45.37,11.04,0.96,3.95,100.0,25,5.0,44.81,75.0,-30.19
73.52,16.07,10.41,4.57,7.06,100.0,40,0.5,81.08,75.0,6.08
57.87,33.91,8.22,1.71,7.04,100.0,25,5.0,54.98,75.0,-20.02
30.46,34.22,35.32,0.89,0.86,100.0,55,0.5,72.76,75.0,-2.24
50.16,26.77,23.07,1.87,2.17,100.0,25,1.0,72.61,75.0,-2.39
54.61,38.04,7.34,1.44,7.44,100.0,55,5.0,43.94,75.0,-31.06
49.55,26.43,24.02,1.87,2.06,100.0,25,0.5,79.08,75.0,4.08
31.71,30.19,38.1,1.05,0.83,100.0,70,0.5,74.47,75.0,-0.53
63.35,10.29,26.36,6.15,2.4,100.0,25,2.0,81.09,75.0,6.09
36.85,37.67,25.48,0.98,1.45,100.0,40,5.0,47.11,75.0,-27.89
21.46,36.45,42.09,0.59,0.51,100.0,55,5.0,48.78,75.0,-26.22
58.73,11.54,29.74,5.09,1.97,100.0,70,1.0,81.06,75.0,6.06
30.63,24.73,44.64,1.24,0.69,100.0,55,0.5,80.94,75.0,5.94
20.49,31.0,48.51,0.66,0.42,100.0,55,2.0,62.6,75.0,-12.4
37.49,34.05,28.46,1.1,1.32,100.0,40,0.5,78.46,75.0,3.46
31.98,27.9,40.11,1.15,0.8,100.0,25,0.5,83.55,75.0,8.55
42.21,46.4,11.39,0.91,3.7,100.0,40,0.5,67.24,75.0,-7.76
20.93,38.69,40.38,0.54,0.52,100.0,25,5.0,54.58,75.0,-20.42
41.83,46.36,11.81,0.9,3.54,100.0,70,0.5,57.19,75.0,-17.81
45.69,41.91,12.4,1.09,3.69,100.0,40,1.0,60.05,75.0,-14.95
40.54,31.07,28.39,1.3,1.43,100.0,40,2.0,66.4,75.0,-8.6
46.42,22.67,30.91,2.05,1.5,100.0,55,2.0,75.99,75.0,0.99
62.43,20.33,17.25,3.07,3.62,100.0,40,0.5,86.15,75.0,11.15
37.67,25.44,36.89,1.48,1.02,100.0,25,2.0,74.02,75.0,-0.98
43.11,48.67,8.23,0.89,5.24,100.0,40,0.5,52.8,75.0,-22.2
55.26,11.51,33.23,4.8,1.66,100.0,40,5.0,66.63,75.0,-8.37
39.02,13.33,47.66,2.93,0.82,100.0,70,2.0,75.57,75.0,0.57
30.17,44.52,25.31,0.68,1.19,100.0,25,5.0,45.62,75.0,-29.38
53.41,29.22,17.37,1.83,3.07,100.0,55,5.0,51.87,75.0,-23.13
76.17,12.75,11.08,5.97,6.87,100.0,25,1.0,89.81,75.0,14.81
61.76,31.99,6.25,1.93,9.88,100.0,70,1.0,67.2,75.0,-7.8
54.2,26.69,19.11,2.03,2.84,100.0,25,2.0,74.57,75.0,-0.43
25.83,45.11,29.06,0.57,0.89,100.0,25,0.5,63.43,75.0,-11.57
56.9,18.16,24.94,3.13,2.28,100.0,40,0.5,83.26,75.0,8.26
39.08,33.33,27.6,1.17,1.42,100.0,40,0.5,80.84,75.0,5.84
28.41,32.31,39.29,0.88,0.72,100.0,25,0.5,79.94,75.0,4.94
51.1,12.18,36.72,4.19,1.39,100.0,25,1.0,91.25,75.0,16.25
53.23,19.2,27.57,2.77,1.93,100.0,55,0.5,81.9,75.0,6.9
64.45,30.5,5.05,2.11,12.76,100.0,70,0.5,68.9,75.0,-6.1
61.82,21.64,16.54,2.86,3.74,100.0,40,5.0,51.36,75.0,-23.64
62.15,28.78,9.07,2.16,6.85,100.0,40,0.5,74.55,75.0,-0.45
41.57,44.31,14.12,0.94,2.94,100.0,40,0.5,64.78,75.0,-10.22
37.62,22.2,40.19,1.69,0.94,100.0,40,1.0,84.33,75.0,9.33
68.56,17.71,13.73,3.87,4.99,100.0,25,2.0,79.12,75.0,4.12
68.61,15.16,16.23,4.52,4.23,100.0,25,5.0,61.07,75.0,-13.93
72.02,21.91,6.06,3.29,11.88,100.0,55,5.0,55.56,75.0,-19.44
63.84,15.93,20.23,4.01,3.16,100.0,40,2.0,75.46,75.0,0.46
50.68,28.87,20.45,1.76,2.48,100.0,40,5.0,50.19,75.0,-24.81
50.09,19.1,30.81,2.62,1.63,100.0,25,0.5,84.71,75.0,9.71
67.9,16.65,15.45,4.08,4.39,100.0,55,0.5,83.02,75.0,8.02
59.0,23.31,17.69,2.53,3.33,100.0,25,2.0,79.23,75.0,4.23
22.54,36.15,41.31,0.62,0.55,100.0,40,1.0,72.27,75.0,-2.73
67.75,23.72,8.53,2.86,7.94,100.0,40,1.0,78.14,75.0,3.14
20.67,37.25,42.08,0.55,0.49,100.0,70,5.0,45.55,75.0,-29.45
40.28,29.41,30.31,1.37,1.33,100.0,70,1.0,68.75,75.0,-6.25
42.53,17.17,40.3,2.48,1.06,100.0,70,1.0,80.1,75.0,5.1
25.64,45.65,28.72,0.56,0.89,100.0,55,1.0,52.66,75.0,-22.34
54.7,28.41,16.89,1.92,3.24,100.0,25,1.0,77.13,75.0,2.13
22.16,38.39,39.46,0.58,0.56,100.0,40,1.0,65.94,75.0,-9.06
47.48,40.09,12.43,1.18,3.82,100.0,40,1.0,68.67,75.0,-6.33
52.56,12.01,35.43,4.38,1.48,100.0,55,1.0,83.7,75.0,8.7
37.19,13.87,48.94,2.68,0.76,100.0,40,5.0,67.28,75.0,-7.72
55.45,38.82,5.73,1.43,9.67,100.0,40,0.5,63.39,75.0,-11.61
21.83,21.27,56.9,1.03,0.38,100.0,25,1.0,88.85,75.0,13.85
22.24,17.37,60.39,1.28,0.37,100.0,70,0.5,84.26,75.0,9.26
69.36,11.57,19.07,5.99,3.64,100.0,70,2.0,76.48,75.0,1.48
41.61,10.87,47.51,3.83,0.88,100.0,55,0.5,86.2,75.0,11.2
27.62,40.98,31.4,0.67,0.88,100.0,70,2.0,53.13,75.0,-21.87
51.33,15.38,33.29,3.34,1.54,100.0,70,5.0,59.24,75.0,-15.76
66.2,28.71,5.09,2.31,13.0,100.0,55,0.5,69.83,75.0,-5.17
32.95,34.24,32.81,0.96,1.0,100.0,55,2.0,64.62,75.0,-10.38
57.37,27.13,15.49,2.11,3.7,100.0,70,0.5,64.57,75.0,-10.43
25.12,11.08,63.79,2.27,0.39,100.0,25,5.0,72.16,75.0,-2.84
23.1,41.34,35.56,0.56,0.65,100.0,55,0.5,71.51,75.0,-3.49
51.88,10.42,37.7,4.98,1.38,100.0,40,2.0,84.79,75.0,9.79
52.44,40.48,7.09,1.3,7.4,100.0,55,1.0,61.88,75.0,-13.12
27.91,30.14,41.95,0.93,0.67,100.0,40,1.0,81.05,75.0,6.05
63.57,27.31,9.12,2.33,6.97,100.0,55,1.0,63.78,75.0,-11.22
44.82,21.69,33.49,2.07,1.34,100.0,55,5.0,54.72,75.0,-20.28
50.98,29.08,19.94,1.75,2.56,100.0,70,1.0,66.44,75.0,-8.56
39.38,25.57,35.05,1.54,1.12,100.0,70,5.0,54.18,75.0,-20.82
32.84,47.45,19.7,0.69,1.67,100.0,70,1.0,57.38,75.0,-17.62
36.25,45.76,17.99,0.79,2.01,100.0,25,5.0,42.17,75.0,-32.83
46.34,23.43,30.23,1.98,1.53,100.0,70,5.0,55.61,75.0,-19.39
24.71,34.6,40.69,0.71,0.61,100.0,70,0.5,67.14,75.0,-7.86
21.52,47.08,31.4,0.46,0.69,100.0,55,1.0,62.82,75.0,-12.18
45.97,42.29,11.73,1.09,3.92,100.0,55,0.5,59.97,75.0,-15.03
31.86,35.42,32.72,0.9,0.97,100.0,25,2.0,68.11,75.0,-6.89
61.76,28.11,10.13,2.2,6.1,100.0,40,1.0,71.86,75.0,-3.14
44.54,21.15,34.32,2.11,1.3,100.0,55,1.0,80.8,75.0,5.8
30.4,48.35,21.25,0.63,1.43,100.0,55,1.0,55.71,75.0,-19.29
29.39,15.71,54.9,1.87,0.54,100.0,40,1.0,86.36,75.0,11.36
35.01,33.19,31.79,1.05,1.1,100.0,25,0.5,78.96,75.0,3.96
52.95,21.3,25.74,2.49,2.06,100.0,55,0.5,80.8,75.0,5.8
62.88,21.16,15.96,2.97,3.94,100.0,70,5.0,55.45,75.0,-19.55
59.61,26.2,14.19,2.28,4.2,100.0,25,0.5,81.21,75.0,6.21
36.8,49.95,13.25,0.74,2.78,100.0,40,5.0,37.1,75.0,-37.9
